Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Personalised Message On Cake (product.metafields.custom.personalised_message_on_cake),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Allergen information (product.metafields.shopify.allergen-information),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-chocolate-flake-forest-cake,The Chocolate Flake Forest Cake,"<p data-path-to-node=""4"">Classic, indulgent, and impossible to resist. This decadent cake is fully enveloped in a <b data-path-to-node=""4"" data-index-in-node=""110"">velvety layer of dark chocolate shavings</b>, giving it a rich texture and a stunning forest-inspired look.</p>
<p data-path-to-node=""5"">The top features a crown of <b data-path-to-node=""5"" data-index-in-node=""28"">silky vanilla buttercream swirls</b>, each topped with a chunky <b data-path-to-node=""5"" data-index-in-node=""88"">chocolate flake bar</b> for that iconic crumbly finish. With its smooth ribbed center and elegant piped base, this cake is the perfect choice for birthdays, office celebrations, or a Sunday family treat. It’s a nostalgic favorite brought to life with premium ingredients.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,6,,,,,,,,,0.0,shopify,5,deny,manual,18.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/flkck.jpg?v=1773256689,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; wheat,chocolate; vanilla,wheat,,kg,,,active
the-chocolate-flake-forest-cake,,,,,,,,,8,,,,,,,,,0.0,shopify,5,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/flk.jpg?v=1773256690,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-chocolate-flake-forest-cake,,,,,,,,,10,,,,,,,,,0.0,shopify,5,deny,manual,45.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-golden-truffle-amp-honeycomb-crumb-cake,The Golden Truffle &amp; Honeycomb Crumb Cake,"<p data-path-to-node=""4"">Satisfy your cravings with a cake that celebrates the perfect crunch. This round artisan cake is enveloped in a <b data-path-to-node=""4"" data-index-in-node=""133"">golden honeycomb-style biscuit crumb</b>, offering a rustic look with a sophisticated flavor profile. The top is finished with a smooth, <b data-path-to-node=""4"" data-index-in-node=""266"">ribbed buttercream center</b>, ringed by delicate whipped peaks.</p>
<p data-path-to-node=""5"">To elevate the indulgence, we’ve topped it with <b data-path-to-node=""5"" data-index-in-node=""48"">iconic gold-wrapped Ferrero Rocher truffles</b> and hand-crafted dark chocolate filigrees. It’s a textural masterpiece that’s as beautiful to look at as it is delicious to eat.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,6,,,,,,,,,0.0,shopify,5,deny,manual,18.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/bdddy.jpg?v=1773256043,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; nuts; wheat,chocolate; caramel,wheat,,kg,,,active
the-golden-truffle-amp-honeycomb-crumb-cake,,,,,,,,,8,,,,,,,,,0.0,shopify,5,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/bdy.jpg?v=1773256044,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-golden-truffle-amp-honeycomb-crumb-cake,,,,,,,,,10,,,,,,,,,0.0,shopify,5,deny,manual,40.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/bdddyyy.jpg?v=1773256044,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-golden-truffle-amp-honeycomb-crumb-cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/bbdy.jpg?v=1773256043,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,
the-midnight-luxe-bento-celebration-box,The Midnight Luxe Bento Celebration Box,"<p data-path-to-node=""4""> Experience the perfect harmony of color and taste with our Midnight Luxe Bento Box. This curated set features a <b data-path-to-node=""4"" data-index-in-node=""133"">miniature centerpiece cake</b> surrounded by eight matching artisan cupcakes. Each piece is decorated with a striking <b data-path-to-node=""4"" data-index-in-node=""247"">navy and ivory ""yin-yang"" swirl</b>, accented with shimmering silver and gold sugar pearls.</p>
<p data-path-to-node=""5"">With its delicate buttercream foliage and metallic baubles, this set is designed for those who appreciate modern elegance. Whether it’s an intimate birthday, a sophisticated ""thank you,"" or a corporate gift, this bento box brings a touch of midnight magic to the table.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes",Cake,"",true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,40.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/bntobox.jpg?v=1773255069,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; wheat,vanilla; chocolate,wheat,,kg,,,active
the-midnight-luxe-bento-celebration-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/bentobox.jpg?v=1773255069,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,
the-golden-ferrero-crumb-square,The Golden Ferrero Crumb Square,"<p data-path-to-node=""4""> Indulge in a symphony of textures with this sophisticated square creation. Coated in a <b data-path-to-node=""4"" data-index-in-node=""108"">rich, golden biscuit crumb</b>, this cake offers a satisfying crunch in every bite. The top features elegant <b data-path-to-node=""4"" data-index-in-node=""213"">ribbed white chocolate buttercream</b>, framed by a lush border of whipped rosettes and delicate chocolate filigree wings.</p>
<p data-path-to-node=""5"">Adorned with iconic <b data-path-to-node=""5"" data-index-in-node=""20"">Ferrero Rocher truffles</b>, it’s the perfect balance of rustic charm and premium luxury. Whether you're celebrating a birthday or an intimate gathering, this cake is a masterclass in elegant indulgence.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,6,,,,,,,,,0.0,shopify,5,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/goldn.jpg?v=1773254659,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; nuts; wheat,chocolate; almond; caramel,wheat,,kg,,,active
the-golden-ferrero-crumb-square,,,,,,,,,8,,,,,,,,,0.0,shopify,5,deny,manual,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/gld.jpg?v=1773254659,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-golden-ferrero-crumb-square,,,,,,,,,10,,,,,,,,,0.0,shopify,5,deny,manual,45.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/ggldn.jpg?v=1773254659,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-golden-ferrero-crumb-square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/glldn.jpg?v=1773254659,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,
